,datetime,average emotion -,average emotion +
db_bell,2015-06-13 00:00,0.6760106646825398,0.11994047619047618
db_bell,2015-06-14 00:00,0.7107736025321809,0.23691997953027366
db_bell,2015-08-09 00:00,0.5080060909714612,0.1772304337869738
db_bell,2015-08-12 00:00,0.2848439919365524,0.5324000900650061
db_bell,2015-08-13 00:00,0.2243307329244829,0.41159704643139416
db_bell,2015-08-14 00:00,0.49261363636363636,0.4722113997113997
db_bell,2015-08-15 00:00,0.5588113912231559,0
db_bell,2015-08-16 00:00,1.024913281163281,0.008522727272727265
db_bell,2015-08-17 00:00,0.21813647768368596,0.5153107122011934
db_crf,2016-05-03 00:00,0.4245745303210939,0.26488043511134063
db_crf,2016-05-04 00:00,0.4227501621121079,0.26808183166040306
db_crf,2016-05-05 00:00,0.4776332848375629,0.3377978098290598
